,AAPL_SMA_Crossover
start,2020-05-07 13:30:00
end,2025-05-07 20:00:02
rf,0.0
total_return,0.012573901168821733
cagr,0.0025025695965643635
max_drawdown,-0.3030531387876778
calmar,0.008257857373051958
mtd,0.0
three_month,-0.20194835828920932
six_month,-0.20054353234818634
ytd,-0.2745753164056025
one_year,-0.15015591788198102
three_year,-0.059583237777607434
five_year,0.0025025695965643635
ten_year,
incep,0.0025025695965643635
daily_sharpe,0.11388704656268729
daily_sortino,0.16684491788960995
daily_mean,0.022990981103595067
daily_vol,0.20187529484259703
daily_skew,-0.6420309351567204
daily_kurt,6.126045370200334
best_day,0.06977746370715443
worst_day,-0.0924541006324322
monthly_sharpe,0.10738216158843446
monthly_sortino,0.16858140752140388
monthly_mean,0.02012981922455013
monthly_vol,0.1874596201713842
monthly_skew,-0.46995494869451404
monthly_kurt,1.3723959466394242
best_month,0.11376857794578776
worst_month,-0.18308697285373898
yearly_sharpe,0.12428508778564978
yearly_sortino,0.2621024856253827
yearly_mean,0.036896759076346375
yearly_vol,0.2968719718006793
yearly_skew,0.17413814400684063
yearly_kurt,-2.0022970461782874
best_year,0.41742948110961775
worst_year,-0.2745753164056025
avg_drawdown,-0.04933102647698149
avg_drawdown_days,82.27777777777777
avg_up_month,0.05176059479551517
avg_down_month,-0.029455259031732385
win_year_perc,0.6
twelve_month_win_perc,0.64
